Class_path,Method_%,Method_fraction,Block_%,Block_fraction,Branch_%,Branch_fraction,Line_%,Line_fraction
org\apache\commons\math4\dfp\DfpDecTest,0,(0/7),0,(0/22),0,(0/16),0,(0/150)
org\apache\commons\math4\dfp\DfpMathTest,0,(0/6),0,(0/21),0,(0/16),0,(0/213)
org\apache\commons\math4\dfp\DfpTest,0,(0/34),0,(0/96),0,(0/66),0,(0/846)
org\apache\commons\math4\distribution\AbstractIntegerDistributionTest$DiceDistribution,0,(0/8),0,(0/15),0,(0/8),0,(0/15)
org\apache\commons\math4\distribution\AbstractIntegerDistributionTest,0,(0/4),0,(0/13),0,(0/6),0,(0/36)
org\apache\commons\math4\distribution\AbstractRealDistributionTest$1,0,(0/9),0,(0/27),0,(0/20),0,(0/27)
org\apache\commons\math4\distribution\AbstractRealDistributionTest$2$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\distribution\AbstractRealDistributionTest$2$2,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\distribution\AbstractRealDistributionTest$2,0,(0/9),0,(0/27),0,(0/20),0,(0/31)
org\apache\commons\math4\distribution\AbstractRealDistributionTest,0,(0/3),0,(0/3),-,,0,(0/25)
org\apache\commons\math4\distribution\BetaDistributionTest,0,(0/10),0,(0/46),0,(0/26),0,(0/119)
org\apache\commons\math4\distribution\BinomialDistributionTest,0,(0/13),0,(0/16),0,(0/2),0,(0/65)
org\apache\commons\math4\distribution\CauchyDistributionTest,0,(0/11),0,(0/15),-,,0,(0/35)
org\apache\commons\math4\distribution\ChiSquaredDistributionTest,0,(0/13),0,(0/16),0,(0/2),0,(0/39)
org\apache\commons\math4\distribution\ConstantRealDistributionTest,0,(0/9),0,(0/15),0,(0/4),0,(0/21)
org\apache\commons\math4\distribution\EmpiricalDistributionTest$1,0,(0/2),0,(0/2),-,,0,(0/2)
org\apache\commons\math4\distribution\EmpiricalDistributionTest$ConstantKernelEmpiricalDistribution,0,(0/2),0,(0/2),-,,0,(0/4)
org\apache\commons\math4\distribution\EmpiricalDistributionTest$UniformKernelEmpiricalDistribution,0,(0/2),0,(0/2),-,,0,(0/4)
org\apache\commons\math4\distribution\EmpiricalDistributionTest,0,(0/31),0,(0/124),0,(0/62),0,(0/250)
org\apache\commons\math4\distribution\EnumeratedIntegerDistributionTest,0,(0/11),0,(0/30),0,(0/6),0,(0/68)
org\apache\commons\math4\distribution\EnumeratedRealDistributionTest$1,0,(0/1),0,(0/1),-,,0,(0/1)
org\apache\commons\math4\distribution\EnumeratedRealDistributionTest$2,0,(0/1),0,(0/1),-,,0,(0/1)
org\apache\commons\math4\distribution\EnumeratedRealDistributionTest,0,(0/14),0,(0/36),0,(0/8),0,(0/90)
org\apache\commons\math4\distribution\ExponentialDistributionTest,0,(0/13),0,(0/13),-,,0,(0/43)
org\apache\commons\math4\distribution\FDistributionTest,0,(0/14),0,(0/23),0,(0/2),0,(0/62)
