Class_path,Method_name,Method_len,Method_access,Block_id,Block_start,Block_end,Block_count,Block_opcode,Block_type,Cond_true_start,Cond_true_end,Cond_true_count,Cond_false_start,Cond_false_end,Cond_false_count,Goto_start,Goto_count,Line_in_file,Can_fall_through
org/apache/tika/TypeDetectionBenchmark.java,main,99,9,5102,9,17,0,-,-,-,-,-,-,-,-,-,-,44,no
org/apache/tika/TypeDetectionBenchmark.java,main,99,9,5107,18,24,0,-,cond,49,51,0,25,48,0,-,-,44,yes
org/apache/tika/TypeDetectionBenchmark.java,main,99,9,5104,25,48,0,-,goto,-,-,-,-,-,-,18,0,44,no
org/apache/tika/TypeDetectionBenchmark.java,main,99,9,5103,49,51,0,-,goto,-,-,-,-,-,-,64,0,44,no
org/apache/tika/TypeDetectionBenchmark.java,main,99,9,5103,52,63,0,-,-,-,-,-,-,-,-,-,-,44,no
org/apache/tika/TypeDetectionBenchmark.java,main,99,9,5108,64,98,0,-,exit,-,-,-,-,-,-,-,-,44,yes
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177,10,5109,0,6,0,-,cond,10,16,0,7,9,0,-,-,47,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177,10,5111,7,9,0,-,goto,-,-,-,-,-,-,176,0,71,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177,10,5110,10,16,0,-,cond,138,144,0,17,53,0,-,-,71,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177,10,5114,17,53,0,-,-,-,-,-,-,-,-,-,-,71,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177,10,5126,54,61,0,-,cond,83,125,0,62,82,0,-,-,71,yes
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177,10,5116,62,82,0,-,goto,-,-,-,-,-,-,54,0,71,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177,10,5115,83,125,0,-,goto,-,-,-,-,-,-,135,0,71,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177,10,5125,126,134,0,-,exit,-,-,-,-,-,-,-,-,71,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177,10,5125,135,137,0,-,goto,-,-,-,-,-,-,176,0,71,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177,10,5125,138,144,0,-,cond,176,176,0,145,154,0,-,-,71,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177,10,5121,145,154,0,-,-,-,-,-,-,-,-,-,-,71,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177,10,5127,155,159,0,-,cond,176,176,0,160,175,0,-,-,71,yes
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177,10,5123,160,175,0,-,goto,-,-,-,-,-,-,155,0,71,no
org/apache/tika/TypeDetectionBenchmark.java,benchmark,177,10,5122,176,176,0,return,exit,-,-,-,-,-,-,-,-,71,no
org/apache/tika/TypeDetectionBenchmark.java,<clinit>,11,8,5128,0,10,0,-,exit,-,-,-,-,-,-,-,-,29,no
org/apache/tika/config/LoadErrorHandler.java,<clinit>,31,8,48,0,30,7,-,exit,-,-,-,-,-,-,-,-,46,no
org/apache/tika/config/LoadErrorHandler.java,<init>,5,0,42,0,4,7,-,exit,-,-,-,-,-,-,-,-,46,no
org/apache/tika/config/LoadErrorHandler.java,handleLoadError,1,1,43,0,0,70,-,exit,-,-,-,-,-,-,-,-,48,no
org/apache/tika/config/LoadErrorHandler.java,<init>,5,0,44,0,4,7,-,exit,-,-,-,-,-,-,-,-,55,no
org/apache/tika/config/LoadErrorHandler.java,handleLoadError,31,1,45,0,30,0,-,exit,-,-,-,-,-,-,-,-,57,no
org/apache/tika/config/LoadErrorHandler.java,<init>,5,0,46,0,4,7,-,exit,-,-,-,-,-,-,-,-,67,no
org/apache/tika/config/LoadErrorHandler.java,handleLoadError,28,1,47,0,27,0,-,exit,-,-,-,-,-,-,-,-,69,no
org/apache/tika/config/ServiceLoader.java,getContextClassLoader,24,8,54,0,7,1374,-,cond,14,17,0,8,13,1374,-,-,85,no
org/apache/tika/config/ServiceLoader.java,getContextClassLoader,24,8,56,8,13,1374,-,-,-,-,-,-,-,-,-,-,92,no
org/apache/tika/config/ServiceLoader.java,getContextClassLoader,24,8,59,14,17,1374,-,cond,22,23,1374,18,21,0,-,-,92,yes
org/apache/tika/config/ServiceLoader.java,getContextClassLoader,24,8,58,18,21,0,-,-,-,-,-,-,-,-,-,-,92,no
